,region,region_coord
330,Langhorne Creek,"(-35.295938, 139.0364451)"
331,Falerno del Massico,"(None, None)"
332,Greco di Tufo,"(None, None)"
333,Yarra Valley,"(10.5090591, 2.4758138)"
334,Fiano di Avellino,"(None, None)"
335,Vi de la Terra Illes Balears,"(None, None)"
336,Murgia,"(42.9649886, -2.809310915936436)"
337,Österreichischer Sekt,"(None, None)"
338,Santa Barbara,"(34.4221319, -119.7026673)"
339,Côtes de Bourg,"(48.6278416, -2.2635679)"
340,Barbera d'Asti Superiore,"(None, None)"
341,Upper Galilee,"(45.941609799999995, 6.637167687782735)"
342,Leyda Valley,"(-33.6121783, -71.4508924)"
343,Saint-Georges-Saint-Émilion,"(None, None)"
344,Vermentino di Sardegna,"(40.7752504, 9.1556518)"
345,Chiroubles,"(46.1811005, 4.6652111)"
346,Bergerac Sec,"(44.9065259, 0.6922101)"
347,Morgon,"(45.9844168, 4.6618268)"
348,Jumilla,"(38.4734708, -1.3285448)"
349,Virginia's Eastern Shore,"(None, None)"
350,Tejo,"(39.5186826, -0.9877836)"
351,Fronsac,"(44.9229141, -0.2740925)"
352,Colli Trevigiani,"(None, None)"
353,Columbia Valley (OR),"(49.281491, -123.1121571)"
354,Listrac-Médoc,"(45.0736769, -0.7905774)"
355,Epanomi,"(40.4280217, 22.928308)"
356,Lussac Saint-Émilion,"(44.9478931, -0.1534371)"
357,Barbera d'Asti,"(None, None)"
358,Nemea,"(37.82133, 22.6622062)"
359,Recioto di Soave,"(None, None)"
360,Santenay,"(46.9115071, 4.6996302)"
361,Santa Clara Valley,"(39.021575, -84.55512207465026)"
362,Gevrey-Chambertin,"(47.2261857, 4.9705666)"
363,Puligny-Montrachet,"(46.94497, 4.75393)"
364,Ruché di Castagnole Monferrato,"(None, None)"
365,Valtellina Superiore,"(46.3201296, 9.8151013)"
366,Oltrepò Pavese,"(None, None)"
367,Red Hills Lake County,"(31.4729821, -93.83057256818182)"
368,Moravia,"(40.8908444, -92.8151962)"
369,Toro,"(41.5216963, -5.3939824)"
370,Slovenia,"(46.149034549999996, 14.626325753340627)"
371,Moulis-en-Médoc,"(45.0564852, -0.7736381)"
372,Pemberton,"(44.0086155, -93.7833984)"
373,Côtes de Bordeaux,"(44.73110855, -0.31870638513075894)"
374,South Coast,"(22.249325499999998, 114.14950835)"
375,Sonoma County-Napa County,"(None, None)"
376,Mercurey,"(46.8396584, 4.7189272)"
377,Givry,"(46.7831191, 4.7432564)"
378,Buzet,"(45.4078767, 13.9655905)"
379,Juliénas,"(46.2347371, 4.7114718)"
380,Valpolicella Classico Superiore Ripasso,"(None, None)"
381,America,"(51.4371483, 5.9799001)"
382,Terra degli Osci,"(None, None)"
383,Beaujolais Rosé,"(46.1125998, 4.7301906)"
